from,to,multimodal,segm
WOMEN/Blouses_Shirts/id_00004479/02_2_side.jpg,WOMEN/Blouses_Shirts/id_00004479/02_2_side.jpg,True,True
WOMEN/Skirts/id_00006771/03_1_front.jpg,WOMEN/Skirts/id_00006771/03_1_front.jpg,True,True
WOMEN/Graphic_Tees/id_00000205/01_4_full.jpg,WOMEN/Graphic_Tees/id_00000205/01_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00001801/17_4_full.jpg,WOMEN/Tees_Tanks/id_00001801/17_4_full.jpg,True,True
WOMEN/Blouses_Shirts/id_00006466/03_4_full.jpg,WOMEN/Blouses_Shirts/id_00006466/03_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00001975/01_4_full.jpg,WOMEN/Tees_Tanks/id_00001975/01_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00003454/05_4_full.jpg,WOMEN/Tees_Tanks/id_00003454/05_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00004873/01_4_full.jpg,WOMEN/Tees_Tanks/id_00004873/01_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00006516/02_4_full.jpg,WOMEN/Tees_Tanks/id_00006516/02_4_full.jpg,True,True
WOMEN/Tees_Tanks/id_00005310/04_4_full.jpg,WOMEN/Tees_Tanks/id_00005310/04_4_full.jpg,True,True
WOMEN/Cardigans/id_00005303/06_7_additional.jpg,WOMEN/Cardigans/id_00005303/06_7_additional.jpg,True,True
WOMEN/Tees_Tanks/id_00007721/26_4_full.jpg,WOMEN/Tees_Tanks/id_00007721/26_4_full.jpg,True,True
WOMEN/Sweaters/id_00001717/02_2_side.jpg,WOMEN/Sweaters/id_00001717/02_2_side.jpg,True,True
WOMEN/Shorts/id_00005058/01_4_full.jpg,WOMEN/Shorts/id_00005058/01_4_full.jpg,True,True
MEN/Pants/id_00005256/01_7_additional.jpg,MEN/Pants/id_00005256/01_7_additional.jpg,True,True
WOMEN/Graphic_Tees/id_00006278/01_4_full.jpg,WOMEN/Graphic_Tees/id_00006278/01_4_full.jpg,True,True
